mapping_id,role_id,sub_menu_id,privilege_id,created_by,created_date,last_modified_by,last_modified_date
276,1,56,2,,2026-01-04 10:40:30.498837,,
277,1,56,3,,2026-01-04 10:40:30.498837,,
278,1,56,4,,2026-01-04 10:40:30.498837,,
279,1,57,1,,2026-01-04 10:40:30.498837,,
280,1,57,2,,2026-01-04 10:40:30.498837,,
281,1,57,3,,2026-01-04 10:40:30.498837,,
282,1,57,4,,2026-01-04 10:40:30.498837,,
283,1,59,1,,2026-01-04 10:40:30.498837,,
284,1,59,2,,2026-01-04 10:40:30.498837,,
285,1,59,3,,2026-01-04 10:40:30.498837,,
286,1,59,4,,2026-01-04 10:40:30.498837,,
287,1,58,1,,2026-01-04 10:40:30.498837,,
288,1,58,2,,2026-01-04 10:40:30.498837,,
289,1,58,3,,2026-01-04 10:40:30.498837,,
290,1,58,4,,2026-01-04 10:40:30.498837,,
291,1,61,1,,2026-01-04 10:40:30.498837,,
292,1,61,2,,2026-01-04 10:40:30.498837,,
293,1,61,3,,2026-01-04 10:40:30.498837,,
294,1,61,4,,2026-01-04 10:40:30.498837,,
295,1,63,1,,2026-01-04 10:40:30.498837,,
296,1,63,2,,2026-01-04 10:40:30.498837,,
297,1,63,3,,2026-01-04 10:40:30.498837,,
298,1,63,4,,2026-01-04 10:40:30.498837,,
299,1,62,1,,2026-01-04 10:40:30.498837,,
300,1,62,2,,2026-01-04 10:40:30.498837,,
301,1,62,3,,2026-01-04 10:40:30.498837,,
302,1,62,4,,2026-01-04 10:40:30.498837,,
303,1,60,1,,2026-01-04 10:40:30.498837,,
304,1,60,2,,2026-01-04 10:40:30.498837,,
305,1,60,3,,2026-01-04 10:40:30.498837,,
306,1,60,4,,2026-01-04 10:40:30.498837,,
307,1,64,1,,2026-01-04 10:40:30.498837,,
308,1,64,2,,2026-01-04 10:40:30.498837,,
309,1,64,3,,2026-01-04 10:40:30.498837,,
310,1,64,4,,2026-01-04 10:40:30.498837,,
311,1,65,1,,2026-01-04 10:40:30.498837,,
312,1,65,2,,2026-01-04 10:40:30.498837,,
313,1,65,3,,2026-01-04 10:40:30.498837,,
314,1,65,4,,2026-01-04 10:40:30.498837,,
315,11,45,1,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
316,11,45,2,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
317,11,45,3,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
318,11,45,4,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
319,11,45,5,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
320,11,46,1,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
321,11,46,2,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
322,11,46,3,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
323,11,46,4,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
324,11,46,5,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
325,11,47,1,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
326,11,47,2,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
327,11,47,3,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
328,11,47,4,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
329,11,47,5,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
330,11,48,1,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
331,11,48,2,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
332,11,48,3,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
333,11,48,4,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
334,11,48,5,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
335,11,49,1,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
336,11,49,2,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
337,11,49,3,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
338,11,49,4,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
339,11,49,5,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
